Date : 2024-02-18 17:29:39
Directory : /Users/espen/Projects/KiCad/projects/ultimate-invitation-card
Total : 138 files,  62301 codes, 1083 comments, 1750 blanks, all 65134 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
+--------------------+------------+------------+------------+------------+------------+
| C++                |        122 |     44,777 |        925 |      1,496 |     47,198 |
| JSON               |          2 |     16,059 |          0 |          2 |     16,061 |
| C                  |          1 |        652 |         69 |        113 |        834 |
| JavaScript         |          3 |        348 |         86 |         67 |        501 |
| HTML               |          2 |        214 |          0 |         40 |        254 |
| SCSS               |          1 |        115 |          0 |          0 |        115 |
| JSON with Comments |          1 |         42 |          0 |          0 |         42 |
| PHP                |          1 |         35 |          0 |         17 |         52 |
| CSS                |          1 |         27 |          3 |          2 |         32 |
| Markdown           |          2 |         19 |          0 |         11 |         30 |
| YAML               |          1 |          9 |          0 |          1 |         10 |
| CSV                |          1 |          4 |          0 |          1 |          5 |
+--------------------+------------+------------+------------+------------+------------+

Directories
+------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                                                       | files      | code       | comment    | blank      | total      |
+------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                                                          |        138 |     62,301 |      1,083 |      1,750 |     65,134 |
| . (Files)                                                                                                                                                  |          2 |         51 |          0 |          5 |         56 |
| firmware                                                                                                                                                   |        136 |     62,250 |      1,083 |      1,745 |     65,078 |
| firmware/ultimate-invitation-card                                                                                                                          |        136 |     62,250 |      1,083 |      1,745 |     65,078 |
| firmware/ultimate-invitation-card (Files)                                                                                                                  |          1 |          4 |          0 |          1 |          5 |
| firmware/ultimate-invitation-card/main                                                                                                                     |        135 |     62,246 |      1,083 |      1,744 |     65,073 |
| firmware/ultimate-invitation-card/main (Files)                                                                                                             |          6 |      1,744 |        340 |        320 |      2,404 |
| firmware/ultimate-invitation-card/main/components                                                                                                          |         28 |      3,237 |         31 |        719 |      3,987 |
| firmware/ultimate-invitation-card/main/components (Files)                                                                                                  |         25 |      3,109 |         29 |        678 |      3,816 |
| firmware/ultimate-invitation-card/main/components/event                                                                                                    |          3 |        128 |          2 |         41 |        171 |
| firmware/ultimate-invitation-card/main/resources                                                                                                           |         28 |     55,321 |        534 |        208 |     56,063 |
| firmware/ultimate-invitation-card/main/resources (Files)                                                                                                   |         14 |     38,397 |        445 |         67 |     38,909 |
| firmware/ultimate-invitation-card/main/resources/captive_portal                                                                                            |         14 |     16,924 |         89 |        141 |     17,154 |
| firmware/ultimate-invitation-card/main/resources/captive_portal (Files)                                                                                    |          5 |     16,177 |          7 |         36 |     16,220 |
| firmware/ultimate-invitation-card/main/resources/captive_portal/dist                                                                                       |          5 |        454 |         64 |         88 |        606 |
| firmware/ultimate-invitation-card/main/resources/captive_portal/docker                                                                                     |          1 |          9 |          0 |          1 |         10 |
| firmware/ultimate-invitation-card/main/resources/captive_portal/src                                                                                        |          3 |        284 |         18 |         16 |        318 |
| firmware/ultimate-invitation-card/main/rundown                                                                                                             |         73 |      1,944 |        178 |        497 |      2,619 |
+------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+------------------------------------------------------------------------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
| filename                                                                                                                                                   | language           | code       | comment    | blank      | total      |
+------------------------------------------------------------------------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
| /Users/espen/Projects/KiCad/projects/ultimate-invitation-card/README.md                                                                                    | Markdown           |          9 |          0 |          5 |         14 |
| /Users/espen/Projects/KiCad/projects/ultimate-invitation-card/firmware/ultimate-invitation-card/main/application.cpp                                       | C++                |        822 |         61 |         86 |        969 |
| /Users/espen/Projects/KiCad/projects/ultimate-invitation-card/firmware/ultimate-invitation-card/main/application.hpp                                       | C++                |        136 |         79 |         88 |        303 |
| /Users/espen/Projects/KiCad/projects/ultimate-invitation-card/firmware/ultimate-invitation-card/main/components/captive_portal.cpp                         | C++                |        105 |          0 |         16 |        121 |
| /Users/espen/Projects/KiCad/projects/ultimate-invitation-card/firmware/ultimate-invitation-card/main/components/captive_portal.hpp                         | C++                |         37 |          0 |         19 |         56 |
| /Users/espen/Projects/KiCad/projects/ultimate-invitation-card/firmware/ultimate-invitation-card/main/components/captive_portal_dns.cpp                     | C++                |        238 |          5 |         28 |        271 |
| /Users/espen/Projects/KiCad/projects/ultimate-invitation-card/firmware/ultimate-invitation-card/main/components/captive_portal_dns.hpp                     | C++                |         99 |          0 |         33 |        132 |
| /Users/espen/Projects/KiCad/projects/ultimate-invitation-card/firmware/ultimate-invitation-card/main/components/captive_portal_http.cpp                    | C++                |        193 |          0 |         56 |        249 |
| /Users/espen/Projects/KiCad/projects/ultimate-invitation-card/firmware/ultimate-invitation-card/main/components/captive_portal_http.hpp                    | C++                |         58 |          0 |         29 |         87 |
| /Users/espen/Projects/KiCad/projects/ultimate-invitation-card/firmware/ultimate-invitation-card/main/components/captive_portal_wifi.cpp                    | C++                |        402 |          1 |         67 |        470 |
| /Users/espen/Projects/KiCad/projects/ultimate-invitation-card/firmware/ultimate-invitation-card/main/components/captive_portal_wifi.hpp                    | C++                |        109 |          2 |         36 |        147 |
| /Users/espen/Projects/KiCad/projects/ultimate-invitation-card/firmware/ultimate-invitation-card/main/components/cuttable_wire_watcher.cpp                  | C++                |        138 |          3 |         22 |        163 |
| /Users/espen/Projects/KiCad/projects/ultimate-invitation-card/firmware/ultimate-invitation-card/main/components/cuttable_wire_watcher.hpp                  | C++                |         57 |          0 |         27 |         84 |
| /Users/espen/Projects/KiCad/projects/ultimate-invitation-card/firmware/ultimate-invitation-card/main/components/event/event_dispatcher.cpp                 | C++                |         90 |          2 |         16 |        108 |
| /Users/espen/Projects/KiCad/projects/ultimate-invitation-card/firmware/ultimate-invitation-card/main/components/event/event_dispatcher.hpp                 | C++                |         27 |          0 |         20 |         47 |
| /Users/espen/Projects/KiCad/projects/ultimate-invitation-card/firmware/ultimate-invitation-card/main/components/event/i_event_dispatcher.hpp               | C++                |         11 |          0 |          5 |         16 |
| /Users/espen/Projects/KiCad/projects/ultimate-invitation-card/firmware/ultimate-invitation-card/main/components/i_display.hpp                              | C++                |         18 |          0 |          3 |         21 |
| /Users/espen/Projects/KiCad/projects/ultimate-invitation-card/firmware/ultimate-invitation-card/main/components/i_playbook.hpp                             | C++                |         15 |          0 |          3 |         18 |
| /Users/espen/Projects/KiCad/projects/ultimate-invitation-card/firmware/ultimate-invitation-card/main/components/oled_display.cpp                           | C++                |        253 |          1 |         23 |        277 |
| /Users/espen/Projects/KiCad/projects/ultimate-invitation-card/firmware/ultimate-invitation-card/main/components/oled_display.hpp                           | C++                |         97 |         10 |         35 |        142 |
| /Users/espen/Projects/KiCad/projects/ultimate-invitation-card/firmware/ultimate-invitation-card/main/components/playbook.cpp                               | C++                |        239 |          1 |         26 |        266 |
| /Users/espen/Projects/KiCad/projects/ultimate-invitation-card/firmware/ultimate-invitation-card/main/components/playbook.hpp                               | C++                |         71 |          4 |         33 |        108 |
| /Users/espen/Projects/KiCad/projects/ultimate-invitation-card/firmware/ultimate-invitation-card/main/components/playbook_item.hpp                          | C++                |         83 |          0 |         12 |         95 |
| /Users/espen/Projects/KiCad/projects/ultimate-invitation-card/firmware/ultimate-invitation-card/main/components/power_timeout.cpp                          | C++                |         98 |          0 |         13 |        111 |
| /Users/espen/Projects/KiCad/projects/ultimate-invitation-card/firmware/ultimate-invitation-card/main/components/power_timeout.hpp                          | C++                |         50 |          0 |         25 |         75 |
| /Users/espen/Projects/KiCad/projects/ultimate-invitation-card/firmware/ultimate-invitation-card/main/components/pwm.cpp                                    | C++                |        208 |          2 |         24 |        234 |
| /Users/espen/Projects/KiCad/projects/ultimate-invitation-card/firmware/ultimate-invitation-card/main/components/pwm.hpp                                    | C++                |         67 |          0 |         32 |         99 |
| /Users/espen/Projects/KiCad/projects/ultimate-invitation-card/firmware/ultimate-invitation-card/main/components/time_sync.cpp                              | C++                |        131 |          0 |         31 |        162 |
| /Users/espen/Projects/KiCad/projects/ultimate-invitation-card/firmware/ultimate-invitation-card/main/components/time_sync.hpp                              | C++                |         24 |          0 |         17 |         41 |
| /Users/espen/Projects/KiCad/projects/ultimate-invitation-card/firmware/ultimate-invitation-card/main/components/tls_connection.cpp                         | C++                |        255 |          0 |         39 |        294 |
| /Users/espen/Projects/KiCad/projects/ultimate-invitation-card/firmware/ultimate-invitation-card/main/components/tls_connection.hpp                         | C++                |         64 |          0 |         29 |         93 |
| /Users/espen/Projects/KiCad/projects/ultimate-invitation-card/firmware/ultimate-invitation-card/main/main.cpp                                              | C++                |          8 |          0 |          1 |          9 |
| /Users/espen/Projects/KiCad/projects/ultimate-invitation-card/firmware/ultimate-invitation-card/main/p13n.hpp                                              | C++                |         75 |          0 |         14 |         89 |
| /Users/espen/Projects/KiCad/projects/ultimate-invitation-card/firmware/ultimate-invitation-card/main/pwm_audio.c                                           | C                  |        652 |         69 |        113 |        834 |
| /Users/espen/Projects/KiCad/projects/ultimate-invitation-card/firmware/ultimate-invitation-card/main/pwm_audio.h                                           | C++                |         51 |        131 |         18 |        200 |
| /Users/espen/Projects/KiCad/projects/ultimate-invitation-card/firmware/ultimate-invitation-card/main/resources/captive_portal/README.md                    | Markdown           |         10 |          0 |          6 |         16 |
